name,primary_market,categories,address,city,state,zip,phone,rating,reviews,claimed,verified,profile_strength,website,independent,services,description,source,source_updated,markets
The Coolest LLC,Austin,HVAC,"4505 Terry-O Ln, Austin, TX 78745",Austin,TX,78745,512-468-6140,4.8,160,false,false,0,,,,The Coolest LLC is a hvac company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Alamo Austin Air Conditioning & Heating,Austin,HVAC,"8819 Jim Davis Pl, Austin, TX 78736",Austin,TX,78736,512-537-0108,4.8,249,false,false,0,,,,Alamo Austin Air Conditioning & Heating is a hvac company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
ABC Austin Service Express LLC,Austin,HVAC,"Austin, TX",Austin,TX,,512-379-6775,4.9,864,false,false,0,,,,ABC Austin Service Express LLC is a hvac company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Goettl Air Conditioning and Plumbing - Austin TX,Austin,HVAC,"3600 Silver Dollar Cir, Austin, TX 78744",Austin,TX,78744,512-991-2882,3.4,202,false,false,0,,,,Goettl Air Conditioning and Plumbing - Austin TX is a hvac company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
ABC Home & Commercial - HVAC Services Department,Austin,HVAC,"9475 US-290, Austin, TX 78724",Austin,TX,78724,512-220-7668,4.9,990,false,false,0,,,,ABC Home & Commercial - HVAC Services Department is a hvac company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
ABC Home & Commercial - Plumbing Services Department,Austin,Plumbing,"9475 US-290, Austin, TX 78724",Austin,TX,78724,512-220-7667,4.9,1066,false,false,0,,,,ABC Home & Commercial - Plumbing Services Department is a plumbing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Rooter-Man Plumbing Austin TX,Austin,Plumbing,"15503 Patrica St, Austin, TX 78728",Austin,TX,78728,512-720-7092,4.7,513,false,false,0,,,,Rooter-Man Plumbing Austin TX is a plumbing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
"Radiant Plumbing, Air Conditioning, & Electrical",Austin,Plumbing,"901 Reinli St, Austin, TX 78751",Austin,TX,78751,512-690-4935,2.6,850,false,false,0,,,,"Radiant Plumbing, Air Conditioning, & Electrical is a plumbing company included in Texas Rated coverage for the Austin market.",Public business listing snapshot,2026-08-28,Austin|North Austin
Austin’s Greatest Plumbing,Austin,Plumbing,"2210 Melissa Oaks Ln, Austin, TX 78744",Austin,TX,78744,512-377-9919,5.0,298,false,false,0,,,,Austin’s Greatest Plumbing is a plumbing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Juan & Only Plumber,Austin,Plumbing,"1834 Ferguson Ln Unit 1000, Austin, TX 78754",Austin,TX,78754,512-222-7311,4.7,40,false,false,0,,,,Juan & Only Plumber is a plumbing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
Austin Roofing Company & Water Damage | WDR,Austin,Roofing,"9711 Beck Cir, Austin, TX 78758",Austin,TX,78758,512-820-6505,4.9,539,false,false,0,,,,Austin Roofing Company & Water Damage | WDR is a roofing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
LOA Construction and Austin Roofing,Austin,Roofing,"706 W Ben White Blvd Ste 200B, Austin, TX 78704",Austin,TX,78704,512-375-3654,4.9,35,false,false,0,,,,LOA Construction and Austin Roofing is a roofing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Lapeyre Roofing,Austin,Roofing,"215 Brazos St, Austin, TX 78701",Austin,TX,78701,512-877-3087,5.0,354,false,false,0,,,,Lapeyre Roofing is a roofing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Ja-Mar Roofing & Sheet Metal - Austin,Austin,Roofing,"4101 Parkstone Heights Dr Ste 250, Austin, TX 78746",Austin,TX,78746,512-441-8437,4.9,667,false,false,0,,,,Ja-Mar Roofing & Sheet Metal - Austin is a roofing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Matthew Lorand Roofing,Austin,Roofing,"7215 Chimney Corners, Austin, TX 78731",Austin,TX,78731,512-623-7407,4.3,16,false,false,0,,,,Matthew Lorand Roofing is a roofing company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|North Austin
TruTec Electric,Austin,Electrical,"2505 E 6th St Unit G, Austin, TX 78702",Austin,TX,78702,512-641-5311,4.9,1065,false,false,0,,,,TruTec Electric is a electrical company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
U.S. Electric Contractors,Austin,Electrical,"1515 E Cesar Chavez St Ste 100, Austin, TX 78702",Austin,TX,78702,512-737-8284,5.0,277,false,false,0,,,,U.S. Electric Contractors is a electrical company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Texas Electrical Connect,Austin,Electrical,"Austin, TX 78703",Austin,TX,78703,512-956-0639,4.9,212,false,false,0,,,,Texas Electrical Connect is a electrical company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Volthouse Electric,Austin,Electrical,"Manchaca, TX",Austin,TX,,512-765-0604,5.0,438,false,false,0,,,,Volthouse Electric is a electrical company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Malco Electric,Austin,Electrical,"10908 US-290, Austin, TX 78737",Austin,TX,78737,512-301-9111,4.8,170,false,false,0,,,,Malco Electric is a electrical company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Wilder Tree Company,Austin,Tree Service,"6910 Halesboro Dr, Austin, TX 78736",Austin,TX,78736,512-729-8733,4.6,20,false,false,0,,,,Wilder Tree Company is a tree service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin|South Austin
Beny’s Tree Service,Austin,Tree Service,"9530 US-290 Service Rd, Austin, TX 78724",Austin,TX,78724,512-412-3784,4.6,103,false,false,0,,,,Beny’s Tree Service is a tree service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Ortiz Tree Trimming,Austin,Tree Service,"Austin, TX 78616",Austin,TX,78616,512-507-6659,4.9,326,false,false,0,,,,Ortiz Tree Trimming is a tree service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
Sid Mourning Tree Service,Austin,Tree Service,"3810 Medical Pkwy, Austin, TX 78756",Austin,TX,78756,512-420-0733,4.0,114,false,false,0,,,,Sid Mourning Tree Service is a tree service company included in Texas Rated coverage for the Austin market.,Public business listing snapshot,2026-08-28,Austin
