date,slug,name,score,rating,reviews
2026-08-28,the-coolest-llc-austin,The Coolest LLC,86.9,4.8,160
2026-08-28,alamo-austin-air-conditioning-heating-austin,Alamo Austin Air Conditioning & Heating,87.9,4.8,249
2026-08-28,abc-austin-service-express-llc-austin,ABC Austin Service Express LLC,91.8,4.9,864
2026-08-28,goettl-air-conditioning-and-plumbing-austin-tx-austin,Goettl Air Conditioning and Plumbing - Austin TX,67.6,3.4,202
2026-08-28,abc-home-commercial-hvac-services-department-austin,ABC Home & Commercial - HVAC Services Department,92.0,4.9,990
2026-08-28,abc-home-commercial-plumbing-services-department-austin,ABC Home & Commercial - Plumbing Services Department,92.2,4.9,1066
2026-08-28,rooter-man-plumbing-austin-tx-austin,Rooter-Man Plumbing Austin TX,87.7,4.7,513
2026-08-28,radiant-plumbing-air-conditioning-electrical-austin,"Radiant Plumbing, Air Conditioning, & Electrical",54.5,2.6,850
2026-08-28,austin-s-greatest-plumbing-austin,Austin’s Greatest Plumbing,91.3,5.0,298
2026-08-28,juan-only-plumber-austin,Juan & Only Plumber,82.2,4.7,40
2026-08-28,austin-roofing-company-water-damage-wdr-austin,Austin Roofing Company & Water Damage | WDR,91.0,4.9,539
2026-08-28,loa-construction-and-austin-roofing-austin,LOA Construction and Austin Roofing,83.5,4.9,35
2026-08-28,lapeyre-roofing-austin,Lapeyre Roofing,91.7,5.0,354
2026-08-28,ja-mar-roofing-sheet-metal-austin-austin,Ja-Mar Roofing & Sheet Metal - Austin,91.4,4.9,667
2026-08-28,matthew-lorand-roofing-austin,Matthew Lorand Roofing,78.0,4.3,16
2026-08-28,trutec-electric-austin,TruTec Electric,92.2,4.9,1065
2026-08-28,u-s-electric-contractors-austin,U.S. Electric Contractors,91.1,5.0,277
2026-08-28,texas-electrical-connect-austin,Texas Electrical Connect,89.0,4.9,212
2026-08-28,volthouse-electric-austin,Volthouse Electric,92.2,5.0,438
2026-08-28,malco-electric-austin,Malco Electric,87.1,4.8,170
2026-08-28,wilder-tree-company-austin,Wilder Tree Company,79.9,4.6,20
2026-08-28,beny-s-tree-service-austin,Beny’s Tree Service,83.4,4.6,103
2026-08-28,ortiz-tree-trimming-austin,Ortiz Tree Trimming,90.0,4.9,326
2026-08-28,sid-mourning-tree-service-austin,Sid Mourning Tree Service,76.0,4.0,114
2026-08-28,adam-s-apple-tree-service-austin,Adam’s Apple Tree Service,91.7,5.0,350
2026-08-28,southern-love-landscaping-design-austin,Southern Love Landscaping & Design,84.8,4.9,51
2026-08-28,atx-prestige-landscaping-austin,ATX Prestige Landscaping,89.0,4.9,215
2026-08-28,alvaro-s-landscaping-and-tree-service-austin,Alvaro’s Landscaping and Tree Service,90.7,5.0,238
2026-08-28,cutters-landscaping-austin,Cutters Landscaping,89.4,5.0,149
2026-08-28,good-neighbor-lawn-care-austin,Good Neighbor Lawn Care,88.9,4.9,203
2026-08-28,rctex-pavers-austin,RcTex Pavers,78.3,5.0,5
2026-08-28,allied-outdoor-solutions-lakeway,Allied Outdoor Solutions,84.5,4.6,188
2026-08-28,j-l-hardscapes-llc-austin,J&L Hardscapes LLC,84.8,5.0,40
2026-08-28,system-pavers-austin-austin,System Pavers - Austin,81.8,4.5,83
2026-08-28,lighthouse-concrete-and-landscape-austin,Lighthouse Concrete and Landscape,84.2,4.9,43
2026-08-28,swept-up-cleaning-co-austin,Swept Up Cleaning Co.,77.0,4.1,14
2026-08-28,austin-cleaning-service-austin,Austin Cleaning Service,92.1,5.0,429
2026-08-28,df-cleaning-llc-austin,DF CLEANING LLC,93.0,5.0,678
2026-08-28,austin-skyline-cleaning-services-austin,Austin Skyline Cleaning Services,76.0,5.0,1
2026-08-28,austin-cleaning-crew-austin,Austin Cleaning Crew,90.1,4.9,348
2026-08-28,mr-handyman-of-south-austin-lakeway-austin,Mr. Handyman of South Austin/Lakeway,81.9,4.5,92
